ploeg ID,Wedstrijd,Datum,Thuis,Bezoekers
140,POVLH01/012,2024-09-13T20:15:00+02:00,1229,1253
140,POVLH02/012,2024-09-21T19:00:00+02:00,1273,1229
140,POVLH03/011,2024-09-27T20:15:00+02:00,1229,1237
140,POVLH04/011,2024-10-04T20:15:00+02:00,1229,1283
140,POVLH05/011,2024-10-18T20:15:00+02:00,1223,1229
140,POVLH06/012,2024-10-25T20:15:00+02:00,1229,1269
140,POVLH07/012,2024-11-08T20:00:00+01:00,1263,1229
140,POVLH08/010,2024-11-15T20:15:00+01:00,1229,1277
140,POVLH09/009,2024-11-22T20:00:00+01:00,1259,1229
140,POVLH10/007,2024-11-29T20:15:00+01:00,1229,1251
140,POVLH11/008,2024-12-06T20:00:00+01:00,1247,1229
140,POVLH12/012,2025-01-10T20:00:00+01:00,1253,1229
140,POVLH13/012,2025-01-17T20:15:00+01:00,1229,1273
140,POVLH14/011,2025-01-24T20:00:00+01:00,1237,1229
140,POVLH15/011,2025-02-08T19:00:00+01:00,1283,1229
140,POVLH16/011,2025-02-14T20:15:00+01:00,1229,1223
140,POVLH17/012,2025-02-21T20:00:00+01:00,1269,1229
140,POVLH18/012,2025-03-07T20:15:00+01:00,1229,1263
140,POVLH19/010,2025-03-14T19:30:00+01:00,1277,1229
140,POVLH20/009,2025-03-28T20:15:00+01:00,1229,1259
140,POVLH21/007,2025-04-04T20:00:00+02:00,1251,1229
140,POVLH22/008,2025-04-11T20:15:00+02:00,1229,1247
142,POVLH01/054,2024-09-13T20:15:00+02:00,1231,1267
142,POVLH02/054,2024-09-20T19:30:00+02:00,1215,1231
142,POVLH03/053,2024-09-27T20:15:00+02:00,1231,1255
142,POVLH04/053,2024-10-04T20:15:00+02:00,1231,1239
142,POVLH05/053,2024-10-19T19:30:00+02:00,1249,1231
142,POVLH06/054,2024-10-25T20:15:00+02:00,1231,1245
142,POVLH07/054,2024-11-08T20:00:00+01:00,1217,1231
142,POVLH08/052,2024-11-15T20:15:00+01:00,1231,1243
142,POVLH09/051,2024-11-22T20:00:00+01:00,1265,1231
142,POVLH10/049,2024-11-29T20:15:00+01:00,1231,1221
142,POVLH11/050,2024-12-06T20:00:00+01:00,1271,1231
142,POVLH12/054,2025-01-11T19:00:00+01:00,1267,1231
142,POVLH13/054,2025-01-17T20:15:00+01:00,1231,1215
142,POVLH14/053,2025-01-25T19:00:00+01:00,1255,1231
142,POVLH15/053,2025-02-08T19:00:00+01:00,1239,1231
142,POVLH16/053,2025-02-14T20:15:00+01:00,1231,1249
142,POVLH17/054,2025-02-22T18:30:00+01:00,1245,1231
142,POVLH18/054,2025-03-07T20:15:00+01:00,1231,1217
142,POVLH19/052,2025-03-15T19:00:00+01:00,1243,1231
142,POVLH20/051,2025-03-28T20:15:00+01:00,1231,1265
142,POVLH21/049,2025-04-04T20:00:00+02:00,1221,1231
142,POVLH22/050,2025-04-11T20:15:00+02:00,1231,1271
144,POVLH01/066,2024-09-13T20:15:00+02:00,1233,1227
144,POVLH02/066,2024-09-20T20:00:00+02:00,1275,1233
144,POVLH03/065,2024-09-27T20:15:00+02:00,1233,1225
144,POVLH04/065,2024-10-04T20:15:00+02:00,1233,1219
144,POVLH05/065,2024-10-18T20:00:00+02:00,1213,1233
144,POVLH06/066,,1233,1281
144,POVLH07/066,2024-11-01T20:00:00+01:00,1241,1233
144,POVLH08/064,2024-11-15T20:15:00+01:00,1233,1279
144,POVLH09/063,2024-11-22T20:00:00+01:00,1261,1233
144,POVLH10/061,2024-11-29T20:15:00+01:00,1233,1257
144,POVLH11/062,2024-12-06T20:00:00+01:00,1235,1233
144,POVLH12/066,2025-01-10T20:00:00+01:00,1227,1233
144,POVLH13/066,2025-01-17T20:15:00+01:00,1233,1275
144,POVLH14/065,2025-01-25T19:30:00+01:00,1225,1233
144,POVLH15/065,2025-02-07T20:00:00+01:00,1219,1233
144,POVLH16/065,2025-02-14T20:15:00+01:00,1233,1213
144,POVLH17/066,,1281,1233
144,POVLH18/066,2025-03-07T20:15:00+01:00,1233,1241
144,POVLH19/064,2025-03-14T19:30:00+01:00,1279,1233
144,POVLH20/063,2025-03-28T20:15:00+01:00,1233,1261
144,POVLH21/061,2025-04-04T20:00:00+02:00,1257,1233
144,POVLH22/062,2025-04-11T20:15:00+02:00,1233,1235
