ploeg ID,Wedstrijd,Datum,Thuis,Bezoekers
140,POVLH01/012,2024-09-13T20:15:00+02:00,HNO Assenede A,Olsene A
140,POVLH02/012,2024-09-21T19:00:00+02:00,St. Pauwels B,HNO Assenede A
140,POVLH03/011,2024-09-27T20:15:00+02:00,HNO Assenede A,Kruibeke B
140,POVLH04/011,2024-10-04T20:15:00+02:00,HNO Assenede A,Zele B
140,POVLH05/011,2024-10-18T20:15:00+02:00,Galmaarden B,HNO Assenede A
140,POVLH06/012,2024-10-25T20:15:00+02:00,HNO Assenede A,Sleidinge A
140,POVLH07/012,2024-11-08T20:00:00+01:00,Rooigem-Gent F,HNO Assenede A
140,POVLH08/010,2024-11-15T20:15:00+01:00,HNO Assenede A,Sterke Stut A
140,POVLH09/009,2024-11-22T20:00:00+01:00,Ronse A,HNO Assenede A
140,POVLH10/007,2024-11-29T20:15:00+01:00,HNO Assenede A,Nova B
140,POVLH11/008,2024-12-06T20:00:00+01:00,Merelbeke F,HNO Assenede A
140,POVLH12/012,2025-01-10T20:00:00+01:00,Olsene A,HNO Assenede A
140,POVLH13/012,2025-01-17T20:15:00+01:00,HNO Assenede A,St. Pauwels B
140,POVLH14/011,2025-01-24T20:00:00+01:00,Kruibeke B,HNO Assenede A
140,POVLH15/011,2025-02-08T19:00:00+01:00,Zele B,HNO Assenede A
140,POVLH16/011,2025-02-14T20:15:00+01:00,HNO Assenede A,Galmaarden B
140,POVLH17/012,2025-02-21T20:00:00+01:00,Sleidinge A,HNO Assenede A
140,POVLH18/012,2025-03-07T20:15:00+01:00,HNO Assenede A,Rooigem-Gent F
140,POVLH19/010,2025-03-14T19:30:00+01:00,Sterke Stut A,HNO Assenede A
140,POVLH20/009,2025-03-28T20:15:00+01:00,HNO Assenede A,Ronse A
140,POVLH21/007,2025-04-04T20:00:00+02:00,Nova B,HNO Assenede A
140,POVLH22/008,2025-04-11T20:15:00+02:00,HNO Assenede A,Merelbeke F
142,POVLH01/054,2024-09-13T20:15:00+02:00,HNO Assenede B,Sint-Niklase F
142,POVLH02/054,2024-09-20T19:30:00+02:00,D'leeuw 2001 B,HNO Assenede B
142,POVLH03/053,2024-09-27T20:15:00+02:00,HNO Assenede B,QLT Gent D
142,POVLH04/053,2024-10-04T20:15:00+02:00,HNO Assenede B,Kruibeke E
142,POVLH05/053,2024-10-19T19:30:00+02:00,Meteor B,HNO Assenede B
142,POVLH06/054,2024-10-25T20:15:00+02:00,HNO Assenede B,Maldegem C
142,POVLH07/054,2024-11-08T20:00:00+01:00,De Pinte B,HNO Assenede B
142,POVLH08/052,2024-11-15T20:15:00+01:00,HNO Assenede B,KTTC Eikenlo C
